"Creating Semantic Spaces Using Document Clustering Ghant Chart
By: Ryan Rubadue, Tristan Weger, Yahya Emara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,,,,,,,,,,
,,10/10/2022,10/17/2022,10/24/2022,10/31/2022,11/7/2022,11/14/2022,11/21/2022,11/28/2022,12/5/2022,12/12/2022,12/19/2022,12/26/2022,1/2/2023,1/9/2023,1/16/2023,1/23/2023,1/30/2023,2/6/2023,2/13/2023,2/20/2023,2/27/2023,3/6/2023,3/13/2023,3/20/2023,3/27/2023,4/3/2023,4/10/2023,4/17/2023,4/24/2023,,,,,,,,,,
1,Pick a dataset to use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Overview entire code and create plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Create token parsing code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Create token filtering network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Embed tokens into high dimension semantic space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Reduce dimensions to ~50D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Reduce dimensions to 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Create code and network to cluster tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Create a final tuned filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Create a cognitive map for 2D data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Create a visual representation of 50D data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Final Presentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
